"loc_adm_2	",,,,nps2015,nps2016
"20035	7.75	6.66667",,,,,
"37077	8.5	8.5",,,,,
"18183	8	6",,,,,
"37107	9.33333	8.66667",,,,,
"19131	7.52941	7.25",,,,,
"17023	9.42857	7.91667",,,,,
"26017	8	8.38462",,,,,
"24023	8	8",,,,,
"31073	8.5	9",,,,,
"20143	9.5	9",,,,,
"42015	7.5	8.8",,,,,
"18059	7.5	10",,,,,
"18165	8	8",,,,,
"19091	8.5	7.95238",,,,,
"27165	7.90909	8.24",,,,,
"19189	7.56522	8.06383",,,,,
"13091	6	5",,,,,
"18009	8.4	5.71429",,,,,
"31095	9.6	8.51852",,,,,
"20169	8	8.5",,,,,
"51175	8	8.2",,,,,
"39137	8.29167	8.29412",,,,,
"13099	7.6	6",,,,,
"46015	9.33333	8.66667",,,,,
"20041	7.5	8.53846",,,,,
"20115	8.3125	8.69565",,,,,
"17119	6.81818	7.70588",,,,,
"39017	8	9",,,,,
"19017	8.35714	7.88889",,,,,
"42119	8.16667	10",,,,,
"31011	8.5	6.90909",,,,,
"31139	8.18182	8.03226",,,,,
"18151	7.5	8.5",,,,,
"36023	8	7",,,,,
"42077	7	9.2",,,,,
"55129	6	7",,,,,
"47017	10	9",,,,,
"45051	6.8	10",,,,,
"13031	10	10",,,,,
"31043	8.5	8",,,,,
"27103	8.35294	9.16216",,,,,
"46053	8.8	8",,,,,
"39147	8	8.55556",,,,,
"31097	7	8.66667",,,,,
"37079	9	7",,,,,
"42039	8.16667	8.75",,,,,
"19133	7.14286	8.4",,,,,
"20157	8.45455	9.25",,,,,
"46017	8	5",,,,,
"42095	8	9.2",,,,,
"29033	8.92308	9.18519",,,,,
"29025	8.1	8.16667",,,,,
"18167	9.36364	8.27273",,,,,
"31165	10	10",,,,,
"24043	8.85714	8.66667",,,,,
"17095	7.66667	8",,,,,
"17029	8.85185	8.97143",,,,,
"55119	7	8",,,,,
"	8.45244	8.31512",,,,,
"17145	8	8.27778",,,,,
"19059	7.5	8.7",,,,,
"06099	8	8.75",,,,,
"55023	8	6.8",,,,,
"27085	8.77778	8.22222",,,,,
"24041	10	8.75",,,,,
"37131	9.25	8.4",,,,,
"31065	8.2	8",,,,,
"31067	8.47059	8.65385",,,,,
"29021	9.11111	7.2",,,,,
"17037	8.5	8.36842",,,,,
"38047	7.125	8",,,,,
"20183	8	8.7",,,,,
"31131	8	8.7619",,,,,
"31153	7.625	7.84615",,,,,
"39043	8	7.23077",,,,,
"19181	8.58333	6.66667",,,,,
"38027	7.5	8.55556",,,,,
"55017	8.16667	7.94444",,,,,
"20201	8.375	8.25",,,,,
"17187	8.71429	8.55172",,,,,
"27171	7.28571	8.5",,,,,
"36063	9.25	7.75",,,,,
"19025	7.83333	8.6",,,,,
"18057	10	8.66667",,,,,
"22077	9	9.2",,,,,
"26049	10	9",,,,,
"19041	8.85185	8.26667",,,,,
"19193	7.96296	7.58824",,,,,
"46049	9	9.26667",,,,,
"20145	7.66667	8",,,,,
"31121	8.28571	8",,,,,
"42067	8	7.33333",,,,,
"17127	8.25	7.5",,,,,
"26011	5	9",,,,,
"29171	9	8",,,,,
"18039	4.75	6.76923",,,,,
"21239	5	10",,,,,
"45035	8	9",,,,,
"19081	7.7931	8.33333",,,,,
"31041	6.84211	7.64706",,,,,
"17073	8.65517	7.39683",,,,,
"18001	8	8.25",,,,,
"21157	10	8",,,,,
"29201	8.33333	9.53846",,,,,
"17179	8.66667	7.81395",,,,,
"37047	8.82353	8.75",,,,,
"55015	8.23077	8.25",,,,,
"27015	7.45205	7.8209",,,,,
"19033	8.09091	8.2093",,,,,
"17055	9.14286	10",,,,,
"21141	7.44444	6.875",,,,,
"26091	7.55556	9.36364",,,,,
"21149	7.66667	10",,,,,
"22107	6	10",,,,,
"05145	9	10",,,,,
"31163	8.75	8.625",,,,,
"38097	8.94118	7.79167",,,,,
"39023	9	6.66667",,,,,
"17191	8.52632	8.52632",,,,,
"51047	4	9",,,,,
"36107	5.5	8",,,,,
"08069	6	7.66667",,,,,
"17161	8.88889	7.14286",,,,,
"29117	9	8.54545",,,,,
"31149	5	9",,,,,
"40047	8.5	5.4",,,,,
"55073	7.4	7.14286",,,,,
"31103	5	8",,,,,
"17189	8.78947	8.5",,,,,
"17065	8.4	8.64286",,,,,
"26133	10	6",,,,,
"27119	7.11111	7.93548",,,,,
"27025	8.5	7.8",,,,,
"17183	8.10345	8.08333",,,,,
"29103	8.5	7.5",,,,,
"26067	8	7.83333",,,,,
"20085	6.33333	9",,,,,
"20161	9	8",,,,,
"17071	8	10",,,,,
"17107	7.92593	8.53846",,,,,
"42085	7.63636	8.75",,,,,
"46127	8.05263	9.28571",,,,,
"26107	10	7.75",,,,,
"39033	8	8.70588",,,,,
"21101	8.5	7.4",,,,,
"27167	8.375	9.83333",,,,,
"22035	6.5	8.5",,,,,
"47051	8	10",,,,,
"17025	6.875	8.6",,,,,
"27047	8.10526	7.65385",,,,,
"47075	8.5	8",,,,,
"42061	8.8	6.8",,,,,
"29223	8	8",,,,,
"42079	9	7.66667",,,,,
"13093	10	10",,,,,
"19037	7.04348	8.11364",,,,,
"19043	8.53333	7.40625",,,,,
"22009	9	8.8",,,,,
"26149	8.6	8.85",,,,,
"21217	8	10",,,,,
"29045	8.8	9",,,,,
"29041	8	8.83333",,,,,
"29207	8.28571	9",,,,,
"51015	9.5	9",,,,,
"05003	9	8.6",,,,,
"20205	8.2	8.44444",,,,,
"27115	7.8	9.2",,,,,
"37013	8	9.44444",,,,,
"39007	8.11111	9.07692",,,,,
"17113	7.94828	7.93443",,,,,
"38095	8.5	7.83333",,,,,
"27149	8.30769	8.83784",,,,,
"18033	6.16667	8.25",,,,,
"18179	7.5	8.85714",,,,,
"18177	9	8.16667",,,,,
"36029	5.5	9.85714",,,,,
"18047	7.83333	7.85714",,,,,
"19175	6.83333	7",,,,,
"46087	7.25	7.53125",,,,,
"38059	8	9",,,,,
"42063	7	9",,,,,
"39165	10	9",,,,,
"31137	9.66667	9.2",,,,,
"31169	8.6	8.53846",,,,,
"42043	8.8	9.6",,,,,
"20091	8.75	5",,,,,
"18017	7.92308	8.85",,,,,
"55001	6.6	9.66667",,,,,
"46115	8.73913	8.54098",,,,,
"17169	8.71429	7.14286",,,,,
"48111	3.5	7.66667",,,,,
"18163	7.33333	9.33333",,,,,
"19073	7.92308	7.85185",,,,,
"38005	7.9	8.5",,,,,
"06025	8	8",,,,,
"46043	8	7.82353",,,,,
"37001	9	3",,,,,
"19065	8.13793	8.22414",,,,,
"18065	7.16667	7.66667",,,,,
"29023	8.83333	7.6",,,,,
"26045	8.8	8.5",,,,,
"42009	8.23077	8.41667",,,,,
"20151	7.42857	5",,,,,
"21123	8.75	8.5",,,,,
"05107	9.21429	9.71429",,,,,
"55141	8.85714	7.44444",,,,,
"37163	9	8.8",,,,,
"06039	8	8",,,,,
"46029	8.9375	8.66667",,,,,
"40115	8	6",,,,,
"39097	7.57143	8.75",,,,,
"20131	8.4375	7.75862",,,,,
"21027	9.08333	9.44444",,,,,
"19039	9	6.8125",,,,,
"27019	9.125	7.27273",,,,,
"37191	8.81818	8.55556",,,,,
"45061	10	8",,,,,
"18071	8.92308	9.08333",,,,,
"08123	8.47059	8.28571",,,,,
"21059	8.75	9.5",,,,,
"42029	8.66667	9.33333",,,,,
"18113	5.5	9",,,,,
"17011	7.8125	8.97222",,,,,
"18143	5	8",,,,,
"31159	7.88889	8",,,,,
"19055	9.41176	8.48148",,,,,
"31023	8.61111	7.84848",,,,,
"28017	10	8.6",,,,,
"55081	7.5	8.33333",,,,,
"47157	5	6.75",,,,,
"04021	0	7.75",,,,,
"42019	9.33333	10",,,,,
"46005	8.95833	8.27397",,,,,
"17153	7.5	7.75",,,,,
"29195	8.1	9.72727",,,,,
"29111	8.57143	9.6",,,,,
"28151	9.57143	9.33333",,,,,
"17163	7.19048	6.5",,,,,
"01103	8	7",,,,,
"01033	9.8	10",,,,,
"29147	8.7	7.86842",,,,,
"56015	7.66667	5.66667",,,,,
"48491	9	10",,,,,
"38003	7.77778	8.07692",,,,,
"21233	8	10",,,,,
"19149	8.80769	8.71186",,,,,
"26021	8.45455	7.88889",,,,,
"46077	8.13636	8",,,,,
"42091	8	8",,,,,
"55071	8.57143	6.76471",,,,,
"36089	5	8.5",,,,,
"39039	9.45455	8.625",,,,,
"36117	9	8",,,,,
"26077	9.25	9.33333",,,,,
"38001	5	8.66667",,,,,
"40139	9.5	8.2",,,,,
"29113	8.44444	8.8",,,,,
"38039	8.66667	8.33333",,,,,
"18031	8.71429	7.47826",,,,,
"31057	9	8.33333",,,,,
"17049	8.4	8.91089",,,,,
"29109	8.66667	4.66667",,,,,
"39001	8.66667	8.8",,,,,
"24029	8.33333	9.33333",,,,,
"19083	7.5	7.95652",,,,,
"38081	8.46667	8",,,,,
"20105	7.5	8",,,,,
"17135	8.56	8.51724",,,,,
"42021	8.5	9",,,,,
"39003	8.5	8.23077",,,,,
"39109	7.53333	8",,,,,
"51810	9	9",,,,,
"21017	10	10",,,,,
"05095	7.5	8.91667",,,,,
"19195	8.26667	8.63636",,,,,
"37061	9.15	9",,,,,
"29039	8.33333	8",,,,,
"05017	9.2	10",,,,,
"17097	10	10",,,,,
"39135	8.33333	6.5",,,,,
"20123	7.33333	9.3",,,,,
"47119	7.6	7.5",,,,,
"27093	8.03846	8.48485",,,,,
"31087	8	7",,,,,
"05121	8	7",,,,,
"20159	9.2	8",,,,,
"27083	7.95238	8.11111",,,,,
"17043	8.5	8.5",,,,,
"39157	8.33333	9.33333",,,,,
"55055	8.9375	7.68",,,,,
"26059	8.61538	9.08333",,,,,
"26155	8.5	8.4",,,,,
"21179	8.33333	8.16667",,,,,
"26121	9	10",,,,,
"18087	8	8.8",,,,,
"19159	5.33333	9",,,,,
"18135	8.66667	9.875",,,,,
"55101	8	8.33333",,,,,
"21083	8.14286	9.57143",,,,,
"39133	7.33333	7.75",,,,,
"26139	9	7.95",,,,,
"38049	8.2	7.9",,,,,
"26161	8.46154	8.5",,,,,
"19147	8.53333	8.84848",,,,,
"38055	8.25	7.875",,,,,
"31167	7.16667	8.06667",,,,,
"19191	8.46939	8.36842",,,,,
"26063	8.13333	8.61538",,,,,
"17125	8.53846	7.94444",,,,,
"17053	8.8125	7.76471",,,,,
"29097	6.5	8.57143",,,,,
"21093	9.4	8.33333",,,,,
"40039	8	10",,,,,
"20021	8.5	8.75",,,,,
"19111	6.33333	9",,,,,
"05111	8.09091	9",,,,,
"38015	7.625	8.78947",,,,,
"01083	8.66667	9.33333",,,,,
"48421	9.25	7.75",,,,,
"31017	8	7",,,,,
"20119	7.5	8.5",,,,,
"46067	8.14286	8.84848",,,,,
"19151	7.80645	7.69231",,,,,
"27051	9	7.81818",,,,,
"04003	7.66667	10",,,,,
"28011	8.6	8.8",,,,,
"31173	9	8.33333",,,,,
"26015	4.875	8.90909",,,,,
"42013	8.25	8.69231",,,,,
"27095	7.8	7.71429",,,,,
"46019	8	5",,,,,
"19079	8.6	8.85714",,,,,
"20003	7.66667	9",,,,,
"31093	8.14286	8.57143",,,,,
"29027	7	8",,,,,
"46083	6.25	7.23529",,,,,
"55059	5	8.4",,,,,
"28107	9.5	9.2",,,,,
"20193	10	8.875",,,,,
"48357	4.5	10",,,,,
"17197	9.08	8.66667",,,,,
"21145	9.2	9.5",,,,,
"55083	5.5	5",,,,,
"29165	9	9.11111",,,,,
"19123	7.47368	8.20833",,,,,
"08099	8	8.66667",,,,,
"18037	8.10526	8.47619",,,,,
"19177	7.28571	9.125",,,,,
"13195	9.33333	8",,,,,
"55045	8.14286	8.125",,,,,
"19157	7.84211	7.11111",,,,,
"28133	8.66667	10",,,,,
"19087	8.25	8.875",,,,,
"36069	10	7.625",,,,,
"26027	7.5	9.44444",,,,,
"48027	9.6	8.16667",,,,,
"39107	8.625	8.2",,,,,
"37101	10	8.14286",,,,,
"29003	9	7",,,,,
"17105	8.17544	8.51282",,,,,
"42109	8.5	9.30769",,,,,
"46003	8.25	9",,,,,
"18159	9.66667	8.25",,,,,
"27117	8.66667	8.22222",,,,,
"17007	7.72727	7.33333",,,,,
"48481	9	7",,,,,
"51131	6	9",,,,,
"27127	8.17188	8.66142",,,,,
"19099	8.25	8.33333",,,,,
"26065	8.83333	9.6",,,,,
"37145	10	10",,,,,
"17081	7.66667	7.83333",,,,,
"17151	8	9",,,,,
"05021	7.8	8",,,,,
"42041	7.875	9.16667",,,,,
"48117	9.75	5",,,,,
"38051	7.18182	7.2",,,,,
"42111	8	8.54545",,,,,
"27007	10	8",,,,,
"31125	10	7",,,,,
"55087	8	7.81818",,,,,
"18099	9.08696	8.4375",,,,,
"51053	7.5	8",,,,,
"22123	9.6	8.88889",,,,,
"05093	8.2	7.78947",,,,,
"38063	8.375	7.75",,,,,
"39045	9	9.88889",,,,,
"19009	7.45455	7.52632",,,,,
"24035	9.33333	9",,,,,
"36043	9	8",,,,,
"37155	8	8.78571",,,,,
"21199	0	9.55556",,,,,
"31175	8.875	8.66667",,,,,
"45075	9	10",,,,,
"46021	9.2	8",,,,,
